Date,Mean Score,Median Score,Tweets,Retweets,Standard Deviation,Top 15
2019-10-08,-0.045454545454545456,-0.045454545454545456,1,0,0.0,"['bristol', 'massive', 'statue', 'edward', 'colston', 'literal', 'slave', 'trader']"
2019-10-07,0.005434782608695652,0.005434782608695652,1,2,0.0,"['mellinger', 'pleased', 'announce', 'times', 'locations', 'bristol', 'futurecity19', 'oct', '1030-1230', 'college', 'green', '1300-1500', 'broadmead', 'union', '1600-1800']"
2019-09-27,0.005952380952380952,0.005952380952380952,1,3,0.0,"['sad', 'bear', 'symbol', 'time', 'loved', 'way', 'colston', 'statue', 'never', 'concerned', 'blandifying', 'bristol', 'pursuit', 'regeneration', 'blaming']"
2019-09-26,-0.00028164643824663135,0.0,5,7,0.032041473351099393,"['colston', 'statue', 'one', 'removed', 'still', 'cllrashercraig', 'marvinjrees', 'due', 'removal', 'also', 'would', 'quite', 'like', 'golden', 'unicorns']"
2019-09-16,0.0,0.0,1,0,0.0,"['near', 'mellinger', 'route', 'almost', 'find', 'somewhere', 'statue', 'colston']"
2019-08-24,0.01834862385321101,0.01834862385321101,1,0,0.0,"['fine', 'writer', 'louise', 'welsh', 'louisewelsh00', 'glasgow', 'happened', 'new', 'plaque', 'colston', 'statue', 'centre', 'bristol', 'futurecity19']"
2019-06-22,-0.01,-0.01,1,1,0.0,"['bristolian', 'friends', 'know', 'name', 'group', 'artist', 'intervention', 'colstonstatue', 'last', 'year', 'slaveryarchive', 'urgent']"
2019-06-03,0.016666666666666666,0.016666666666666666,1,0,0.0,"['would', 'interesting', 'get', 'thinking', 'bit', 'created', 'memorial', 'colston', 'statue', 'erected', 'end', '19th', 'tell', 'collective', 'memory']"
2019-05-26,0.04,0.04,1,0,0.0,"['watched', 'thealiceroberts', 'georgian', 'bristol', 'brilliant', 'documentary', 'good', 'balance', 'subjects', 'reminded', 'additions', 'edward', 'colston', 'statue', 'sadly']"
2019-05-10,0.01282051282051282,0.01282051282051282,1,0,0.0,"['college', 'green', 'statue', 'edward', 'colston', 'prime', 'adult', 'skateboard', 'locations', 'need', 'tick', 'bucket', 'list', 'oowee', 'baldwin']"
2019-05-08,0.01694915254237288,0.01694915254237288,1,1,0.0,"['like', 'artefact', 'theredifference', 'bell', 'statue', 'white', 'supremacist', 'say', 'jefferson', 'davis', 'human', 'trafficker', 'edward', 'colston', 'one']"
2019-05-02,-0.018518518518518517,-0.018518518518518517,1,0,0.0,"['era', 'uklabour', 'spokesman', 'jeremycorbyn', 'notice', 'things', 'regarded', 'book', 'time', 'amp', 'language', 'slave', 'trading', 'also', 'oppose']"
2019-04-24,-0.011235955056179775,-0.011235955056179775,1,0,0.0,"['city', 'kudos', 'bristol', 'council', 'allowing', 'modern', 'slavery', 'memorial', 'foot', 'colston', 'statue', 'deteriorate', 'public', 'whether', 'disintegration']"
2019-04-18,-0.029556650246305417,-0.029556650246305417,1,10,0.0,"['walking', 'bristol', 'yesterday', 'jolted', 'passed', 'edward', 'colston', 'slave', 'trader', 'statue', 'juxtaposed', 'remains', 'installation', 'piece', 'highlighting']"
2019-04-01,0.012459933736887363,0.018518518518518517,11,17,0.029359601571892532,"['statue', 'colston', 'bristol', 'thieves', 'remove', 'city', 'centre', 'removed', 'edward', 'ursa', 'made', 'nationwide', 'hunt', 'underway', 'infamous']"
2019-03-31,-0.01507537688442211,-0.01507537688442211,1,0,0.0,"['set', 'bronze', 'statue', 'edward', 'colston', 'leans', 'pensively', 'stick', 'around', 'base', 'pedestal', 'clay', 'figurines', 'illustrate', 'slave']"
2019-03-30,-0.0898876404494382,-0.0898876404494382,1,0,0.0,"['remains', 'art', 'protest', 'linking', 'statue', 'slave-trader', 'edward', 'colston', 'modern-day', 'slavery', 'bristol']"
2019-03-28,0.013071895424836602,0.013071895424836602,1,0,0.0,"['manner', 'two', 'prominent', 'bristolians', 'behaved', 'recently', 'relation', 'reworded', 'colston', 'statue', 'plaque', 'make', 'despite', 'fact', 'bristolian']"
2019-03-26,0.0,0.0,2,0,0.0,"['colston', 'statue', '100', 'human', 'figures', 'placed', 'front', 'city', 'centre', 'row', 'continues', 'bristollawhistory']"
2019-03-25,-0.0004459820312220914,0.0,7,36,0.011333903064694548,"['plaque', 'colston', 'statue', 'bristol', 'merchant', 'consultation', 'venturers', 'amp', 'second', 'axed', 'happen', 'edward', 'bigotry', 'history', 'still']"
2019-03-24,-0.006779000259897774,-0.006779000259897774,2,10,0.0016243610846400415,"['plaque', 'colston', 'statue', 'exc', 'marvinjrees', 'scraps', 'months', 'wrangling', 'meant', 'highlight', 'role', 'slave', 'trade', 'merchant', 'venturers']"
2019-03-22,-0.02185792349726776,-0.02185792349726776,1,3,0.0,"['plaque', 'attacked', 'efforts', 'add', 'so-called', 'corrective', 'edward', 'colston', 'statue', 'centre', 'descended', 'farce', 'thanks', 'interference', 'local']"
2019-03-07,-0.0410958904109589,-0.0410958904109589,1,0,0.0,"['depiction', 'modern', 'slavery', 'around', 'statue', 'edward', 'colston', 'bristol', 'four', 'photos']"
2019-03-04,-0.006535947712418301,-0.006535947712418301,1,0,0.0,"['thought', 'illustrates', 'hard', 'get', 'right', 'bristol', 'debate', 'edward', 'colston', 'name', 'used', 'performance', 'hall', 'schools', 'roads']"
2019-02-24,0.0,0.0,1,0,0.0,"['founder', 'mandem', 'elias', 'williams', 'takes', 'look', 'identity', 'politics', 'thebestmencanget', 'gilletead', 'bristolcontroversial', 'edward', 'colston', 'statue']"
2019-02-21,0.0,0.0,2,2,0.0,"['colston', 'statue', 'phantoms19', 'edward', 'bristol', 'man', 'whose', 'influence', 'built', 'backs', 'enslaved', 'ppls', 'commemoration', 'shares', 'similarities']"
2019-02-16,-0.03333333333333333,-0.03333333333333333,1,1,0.0,"['uproar', 'regarding', 'however', 'colston', 'statue', 'bristol', 'constantly', 'protest', 'one', 'margaret', 'thatcher', 'almost', 'erected', 'due', 'fears']"
2019-02-15,-0.01775147928994083,-0.01775147928994083,1,0,0.0,"['bristol', 'school', 'decided', 'rename', 'ithouses', 'shirk-off', 'slave-based', 'past', 'statue', 'edward', 'colston', 'also', 'removed', 'labour', 'thangammp']"
2019-02-13,-0.02727272727272727,-0.02727272727272727,1,1,0.0,"['workers', 'feet', 'colston', 'statue', 'bristol', 'artist', 'lays', 'representations', 'modern', 'day', 'slavery', 'nail', 'salon', 'farm', 'etc']"
2019-02-12,-0.08108108108108109,-0.08108108108108109,1,12,0.0,"['seen', 'base', 'slave', 'trader', 'colston', 'statue']"
2019-02-10,0.0,0.0,1,0,0.0,"['anyone', 'know', 'whathappening', 'proposed', 'new', 'plaque', 'colston', 'statue', 'may', 'tip']"
2019-02-06,-0.012345679012345678,0.0,3,17,0.017459426695964134,"['bristol', 'colston', 'statue', 'stansted15', 'sentencing', 'anyone', 'know', 'intervention', 'around', 'weirdbristol', 'bristolweird', 'boyle123g', 'bristolarchives', 'mansonmike', 'send']"
2019-02-04,0.0,0.0,1,6,0.0,"['bristol', 'solidarity', 'stansted15', 'facing', 'sentencing', 'wednesday', '8am', 'statue', 'edward', 'colston', 'near', 'fountains', 'enddeportations']"
2019-01-24,-0.026845637583892617,-0.026845637583892617,1,0,0.0,"['failed', 'crowdfunding', 'theretext', 'collage', 'panel', 'triangular', 'trade', 'contrasts', 'online', 'bristolslavery', 'monument', 'pre-internet', 'colston', 'statue']"
2019-01-17,-0.028368794326241134,-0.028368794326241134,1,0,0.0,"['thinking', 'interesting', 'conflations', 'living', 'dead', 'always', 'recur', 'within', 'depictions', 'slavery', '100', 'human', 'figures', 'placed', 'front']"
2019-01-15,-0.004830917874396135,-0.004830917874396135,1,4,0.0,"['worker', 'powerful', 'installation', '100', 'human', 'figures', 'colston', 'statue', 'links', 'bristoldark', 'past', 'modern', 'slavery', 'nail', 'bar']"
