,Datetime,Text,Username,Geolocation
46,2020-06-09 23:31:55+00:00,"@originalbanksy @BristolCouncil @ukblm @Blklivesmatter Made a basic 3D model of a possible statue to replace #Bristol #Colston #Statue inspired by #Banksy 's idea, anyone got a good name for it? #ColstonHasFallen #colstonstatue #BristolProtests #BLMprotest #BLM ",KavanNash,
47,2020-06-09 23:31:44+00:00,Protesters pulled down a statue of British slave trader Edward Colston. Monuments elsewhere are becoming flashpoints too ,AbbeeCorb,
48,2020-06-09 23:31:24+00:00,"*Colston goes splash* ""MOB RULE THEY SHOULD HAVE GONE THROUGH THE AUTHORITIES"" *Tower Hamlets Council removes statue of a slaver* ""NOT LIKE THAT, YOU'LL BURN BOOKS NEXT""",GreggSmith1,
49,2020-06-09 23:31:22+00:00,"That is unintelligible except through the emotional investment of some in the statue of a slave trader, with the bizarre idea that if ""they"" come for Colston then ""they"" come for us. *That* inner monologue is the scary part. ",DavidRobjant,
50,2020-06-09 23:30:34+00:00,Could’ve put the Colston statue in nets on that fateful night in Turin and it would have got closer to the German pens than Shilton,Gee2theTee,
51,2020-06-09 23:30:10+00:00,Oh wow you're the first person to think of this! Statues glorify people whether you like it or not and the removal of the Colston statue did more to educate people on it than the plaque they added to it ever did. Stop patronising and show some compassion for fucks sake,AlderSpell,
52,2020-06-09 23:29:41+00:00,"People who are upset that the Edward Colston statue is in the river , dont realise is that statues of slave traders arnt preserving history , they are glorifying the negative side of it We have ways of preserving history, the internet , history books ect",IDNA616,
53,2020-06-09 23:29:19+00:00,Black people didnt what to be slaves. Colston took them becuase he could. People didnt want that statue so they took it becuase they could. Why are you upset,jayisdaman,
54,2020-06-09 23:28:58+00:00,"Bristolians have been trying to get that statue taken down for years, halted by screeches of 'HISTORY' from (small c) conservatives - despite anyone who actually knew their stuff knowing Colston's virtue is largely a Victorian wet dream fantasy from 150yrs after he died.",Joeisntfunny,
55,2020-06-09 23:26:29+00:00,The fact of the matter is this time last week 99.9% of the British population had never heard of Edward Colston. Now he is a household name and people are printing off pictures of the statue and framing them!!!!,Tvjoanne,
56,2020-06-09 23:25:55+00:00,The Colston statue in Bristol is Grade II listed. Hopefully that will be enough to charge those responsible. Particularly since they didn’t just remove it but defaced it and threw it into the harbour.,JoannaWaterhou3,
57,2020-06-09 23:25:50+00:00,Bristol City Council: Replace the Colston Statue with Paul Stephenson - Sign the Petition! ,GetOutOfCapeCod,
58,2020-06-09 23:25:43+00:00,Also Auschwitz isn’t still standing to glorify Hitler unlike the statue of Colston and other slave traders,BigStoi,
59,2020-06-09 23:25:34+00:00,if you’re referring to the edward colston statue it’s literally a statue commemorating a slave trader so yea desecrate tf out of it,_hannahgarcia,
60,2020-06-09 23:25:30+00:00,"Maybe you can get it out there is that the irony of people of Bristol saying they never wanted the statue of Colston, are quite happy to drink at the bar at the top of Colston tower.. which is an African and Mediterranean bar.. ",JohnWootton6,
