Datetime,Id,Link,Text,Username,Retweets,Hashtags,Geolocation
2020-06-11 22:59:10+00:00,1271215427130208257,https://twitter.com/blobby707/status/1271215427130208257,Glasgow's Duke of Wellington 'could be moved to statue graveyard' https://www.glasgowlive.co.uk/news/glasgow-news/duke-wellington-could-moved-statue-18399472?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=sharebar Oh for fk sake remember the scriptures. He who is without sin etc etc Dont remove the statue. Put a plaque depicting his past. Perhaps hes burning in hell.,blobby707,0,,
2020-06-11 22:04:57+00:00,1271201783021555718,https://twitter.com/yayruthie/status/1271201783021555718,People on my fb turning around and calling people wanting to take the Glasgow Duke of Wellington statue down 'vandals' cause they have an attachment to it. That's how easy it is to turn your back on a movement cause of your selfishness,yayruthie,0,,
2020-06-11 21:53:45+00:00,1271198963857793024,https://twitter.com/paddy7bhoy/status/1271198963857793024,Does anyone really thinks that a few Drunk Young Guys who put a cone on The Duke of Wellington’s statue was because of political reasons ?,paddy7bhoy,0,,
2020-06-11 21:35:41+00:00,1271194416544350209,https://twitter.com/thomsonmeh/status/1271194416544350209,I see on socials the council are talking about moving the Duke of Wellington statue .... but the kick back is - It dosent mean the same now as its been made our own by the cones on its head. No bruvs ..... thats not how it works. Get down. Merchant city also has to go ,thomsonmeh,0,,
2020-06-11 21:31:20+00:00,1271193324544839683,https://twitter.com/bolamop/status/1271193324544839683,"I'm 38. Born and raised in Glasgow. I've always known about the Duke of Wellington statue outside the Gallery of Modern Art, the one with traffic cone on his head. In my teens I spent my free time in and around the museum, in my 20's I passed the area every day on my way to work.",bolamop,0,,
2020-06-11 20:34:42+00:00,1271179072157233152,https://twitter.com/FireyRoxy/status/1271179072157233152,"It's the Duke of Wellington statue outside Stirling Library. Despite the efforts of the authorities, it always has a traffic cone on his head, sometimes the horse too. When we had gold post boxes for the Olympics, he had a gold cone. It's one of Glasgow's landmarks.",FireyRoxy,1,,
2020-06-11 20:04:31+00:00,1271171474641076224,https://twitter.com/Meg_Mortimer/status/1271171474641076224,Granny Fraser has started an online petition to topple Glasgow's Duke of Wellington statue and have it replaced by one of Molly Weir.,Meg_Mortimer,0,,
2020-06-11 19:40:04+00:00,1271165322452774913,https://twitter.com/asoiafreadthru/status/1271165322452774913,It’s good to tear down statues but in Glasgow we put traffic cones on the head of the Duke of Wellington statue and I think that’s beautiful ,asoiafreadthru,5,,
2020-06-11 18:55:56+00:00,1271154216279646212,https://twitter.com/smcn01/status/1271154216279646212,It’s always annoyed me that the statue of the Duke of Wellington in Glasgow has a traffic cone stuck on his head. He’s due a wee bit of respect surely.,smcn01,0,,
2020-06-11 18:55:32+00:00,1271154113888337921,https://twitter.com/RaylaxKai/status/1271154113888337921,they'll replace it with a big statue of a traffic cone and people will start putting small statues of the duke of wellington on top of it,RaylaxKai,0,,
